100
71 19
8 22 16 41 74 10 42 19 7 3 26 9 30 13 62 59 4 11 44 29 34 1 5 12 52 23 66 71 45 31 57 68 64 48 14 65 49 54 69 39 46 72 51 56 73 43 21 24 15 2 33 55 75 32 58 61 25 17 63 27 6 20 38 60 35 18 36 40 50 70 47
608 225 553 501
44 7 48 72 71
34 9 54 16 64
49 22 68 26 69
3 62 21 56 24
31 11 52 15 23
5 4 7 56 62
69 66 64 34 73
8 19 12 15 72
51 42 44 48 11
74 9 3 31 2
19 8 72 31 15
39 65 10 26 29
73 64 66 57 3
48 23 1 54 7
43 46 41 52 45
74 72 22 34 5
71 14 13 2 39
43 48 15 26 3
12 9 64 30 16
51 65 21 45 57
29 66 62 24 68
12 11 26 69 16
57 9 4 43 7
30 22 64 21 15
56 39 3 10 23
29 9 73 71 57
4 49 66 14 13
22 65 5 31 16
30 56 62 69 8
68 64 3 15 21
68 66 3 65 9
34 8 30 31 24
16 57 12 4 23
13 59 11 72 49
69 43 39 62 64
52 11 22 1 3
41 48 64 30 56
4 34 72 23 21
57 19 43 12 73
65 16 39 9 71
13 49 54 74 39
22 4 64 23 68
12 41 24 52 9
19 21 71 65 34
29 69 46 10 45
45 13 16 65 24
62 49 22 66 11
69 8 29 34 57
54 72 52 56 41
12 30 64 42 39
4 12 43 51 13
56 2 57 69 21
22 7 52 1 9
68 54 64 73 59
71 31 29 48 66
68 24 56 39 26
74 5 31 51 16
10 52 73 71 41
29 9 3 57 64
7 69 12 30 15
16 19 23 44 2
42 46 69 41 45
48 73 62 49 59
31 68 22 14 51
72 66 5 4 8
66 7 4 16 30
45 31 34 5 59
71 42 8 48 56
24 73 41 26 19
2 57 64 21 11
13 4 73 57 64
11 66 74 72 39
14 19 54 7 52
8 71 21 15 3
68 59 45 44 46
44 52 74 48 62
69 23 66 4 22
54 64 59 26 71
10 34 31 16 51
7 45 43 24 68
42 19 23 57 13
9 59 74 62 21
41 11 73 30 69
26 16 7 45 56
10 54 64 46 4
73 22 5 24 44
66 51 69 57 23
4 46 56 34 12
26 3 41 19 9
54 45 71 42 48
12 54 24 74 69
5 59 4 13 3
48 72 43 66 26
49 44 65 7 71
30 42 1 46 73
40 1
51 20 74 28 54 39 67 66 53 37 17 4 34 57 15 3 32 6 42 2 65 18 45 48 7 35 55 63 1 61 71 41 75 73 64 40 24 72 29 26
759 936 967 690
14 36 22 39 28
73 23 54 2 20
75 6 18 44 69
32 35 48 45 17
7 66 15 5 63
36 10
71 18 58 70 54 3 16 66 35 55 29 22 31 62 21 30 49 38 50 39 2 34 14 69 63 5 56 17 47 40 42 27 13 51 1 59
598 31 460 172
24 7 42 49 17
21 28 29 40 22
2 56 1 63 33
35 51 52 53 70
14 34 57 66 30
